la,statute_id,statute_name,estimated_amount,penalty_type,year,penalty_amt_min,penalty_amt_max,penalty_amt_fixed,penalty_other,notes,is_discretionary_text,has_min,has_max,has_fixed,has_numeric_amount,amount_type
Cassandra Fuentes,ms_457,miss. code ann. § 97-29-19,$0 - $500,dead bodies; disinterment for sale or wantonness,1848.0,,,,imprisonment 5 yrs max or jail 1 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_458,miss. code ann. § 97-29-21,$0 - $500,dead bodies; buying or receiving,1848.0,,,,imprisonment 5 yrs max or jail 1 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_459,miss. code ann. § 97-29-23,$0 - $300,dead bodies; opening graves for certain purposes,1848.0,,,,imprisonment 2 yr max or jail 6 mo max,,False,False,False,False,False,none
Cassandra Fuentes,ms_460,miss. code ann. § 97-29-25 (1)(a),$0 - $500,desecration of cemetery,2004.0,,,,jail 1 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_461,miss. code ann. § 97-29-25 (1)(a),restitution,desecration of cemetery,2004.0,,,,,restitution at judge discretion,False,False,False,False,False,none
Cassandra Fuentes,ms_462,miss. code ann. § 97-29-25 (2)(a),$0 - $5000,desecration of human corpse,2004.0,,,,imprisonment 3 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_463,miss. code ann. § 97-29-27,$500,incest; marriage within prohibited degrees,1848.0,,,500.0,imprisonment 10 yr max,marriage voided,False,False,False,True,True,fixed
Cassandra Fuentes,ms_464,miss. code ann. § 97-29-29,$500,incest; persons divorced for incest not to cohabit or copulate,1857.0,,,500.0,imprisonment 10 yr max,,False,False,False,True,True,fixed
Cassandra Fuentes,ms_465,miss. code ann. § 97-29-31,$0 - $500,indecent exposure; first offense,2006.0,,,,jail 6 mo,,False,False,False,False,False,none
Cassandra Fuentes,ms_466,miss. code ann. § 97-29-31,$0 - $1000,indecent exposure; second offense within 5 years,2012.0,,,,imprisonment 1 yr max,,False,False,False,False,False,none
Cassandra Fuentes,ms_467,miss. code ann. § 97-29-31,$0 - $5000,indecent exposure; subsequent offense within 5 years,2012.0,,,,imprisonment 5 yr max,,False,False,False,False,False,none
