data_collector,state,statute_id,statute_name,estimated_amount,penalty_type,year,penalty_amt_min,penalty_amt_max,penalty_amt_fixed,penalty_other,notes,unnamed:_12,is_discretionary_text,has_min,has_max,has_fixed,has_numeric_amount,amount_type
,Delaware,de_1,del. j. p. ct. crim. r. 58(a)(a),29.5,fees and costs; deposit of funds,2007.0,,,29.5,,"a. For issuing, processing a filing a warrant or summons $ 29.50", ,False,False,False,True,True,fixed
,Delaware,de_2,del. j. p. ct. crim. r. 58(a)(b),20,fees and costs; deposit of funds,2007.0,,,20.0,,For processing a voluntary assessment agreement  20.00, ,False,False,False,True,True,fixed
,Delaware,de_3,del. j. p. ct. crim. r. 58(a)(c)(a),5.5,fees and costs; deposit of funds,2007.0,,,5.5,,"For conducting a trial or accepting a plea of guilty (including
  a Robinson plea) or nolo contendere  5.50", ,False,False,False,True,True,fixed
,Delaware,de_4,del. j. p. ct. crim. r. 58(a)(d),$2 each form,fees and costs; deposit of funds,2007.0,,,2.0,,For preparing commitment and detention forms; each form  2.00, ,False,False,False,True,True,fixed
,Delaware,de_5,del. j. p. ct. crim. r. 58(a)(e),$2 each bond,fees and costs; deposit of funds,2007.0,,,2.0,,"For preparing of bail, judgment and appeal bonds; each bond  2.00", ,False,False,False,True,True,fixed
,Delaware,de_6,del. j. p. ct. crim. r. 58(a)(f),7,fees and costs; deposit of funds,2007.0,,,7.0,,For preparing certified transcript of the record  7.00, ,False,False,False,True,True,fixed
,Delaware,de_7,del. j. p. ct. crim. r. 58(a)(g),15,fees and costs; deposit of funds,2007.0,,,15.0,,For issuing a capias  15.00, ,False,False,False,True,True,fixed
,Delaware,de_8,del. j. p. ct. crim. r. 58(a)(h),25,fees and costs; deposit of funds,2007.0,,,25.0,,Capias returned by constable  25.00, ,False,False,False,True,True,fixed
,Delaware,de_9,del. j. p. ct. crim. r. 58(a)(i),30,fees and costs; deposit of funds,2007.0,,,30.0,,For processing a Petition for Expungement of Record  30.00, ,False,False,False,True,True,fixed
,Delaware,de_10,"del. code ann. tit. 10, § 8601","costs shall be limited to expenses specially incurred by the state in defending the convicted person. such costs shall not include expenses inherent in providing a constitutionally guaranteed jury trial, or expenditures in connection with the maintenance and operation of government agencies if such expenditures must be made by the public irrespective of specific violations of law.",recoupment of costs,1961.0,,,,,A court may require a convicted defendant who has utilized court-appointed attorneys or the Office of Defense Services to pay the costs of defense in that court., ,False,False,False,False,False,none
,Delaware,de_10,"del. code ann. tit. 10, § 8601","costs shall be limited to expenses specially incurred by the state in defending the convicted person. such costs shall not include expenses inherent in providing a constitutionally guaranteed jury trial, or expenditures in connection with the maintenance and operation of government agencies if such expenditures must be made by the public irrespective of specific violations of law.",recoupment of costs,1995.0,,,,,Modified to include gender-neutral language, ,False,False,False,False,False,none
,Delaware,de_10,"del. code ann. tit. 10, § 8601","costs shall be limited to expenses specially incurred by the state in defending the convicted person. such costs shall not include expenses inherent in providing a constitutionally guaranteed jury trial, or expenditures in connection with the maintenance and operation of government agencies if such expenditures must be made by the public irrespective of specific violations of law.",recoupment of costs,2015.0,,,,costs of defense,A court may require a convicted defendant who has utilized court-appointed attorneys or the Public Defender’s Office of Defense Services to pay the costs of defense in that court., ,False,False,False,False,False,none
,Delaware,de_11,"ann. tit. 10, § 8701",10,attorney general,1995.0,,,10.0,,"(c) The Revisors shall gender neutralize or otherwise insure that 
a solely masculine or feminine designation never occurs unless it could
 only apply to one gender.""", ,False,False,False,True,True,fixed
,Delaware,de_11,"ann. tit. 10, § 8701",,attorney general,1953.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_11,"ann. tit. 10, § 8701",,attorney general,1935.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_11,"ann. tit. 10, § 8701",,attorney general,1915.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_11,"ann. tit. 10, § 8701",,attorney general,1852.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_12,"ann. tit. 10, § 8701",2.4,attorney general,1995.0,,,2.4,,, ,False,False,False,True,True,fixed
,Delaware,de_12,"ann. tit. 10, § 8701",,attorney general,1953.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_12,"ann. tit. 10, § 8701",,attorney general,1935.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_12,"ann. tit. 10, § 8701",,attorney general,1915.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_12,"ann. tit. 10, § 8701",,attorney general,1852.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_13,"ann. tit. 10, § 8701",$1.20 - $2.40,attorney general,1995.0,,,1.2,,, ,False,False,False,True,True,fixed
,Delaware,de_13,"ann. tit. 10, § 8701",,attorney general,1953.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_13,"ann. tit. 10, § 8701",,attorney general,1935.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_13,"ann. tit. 10, § 8701",,attorney general,1915.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_13,"ann. tit. 10, § 8701",,attorney general,1852.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_14,"ann. tit. 10, § 8701",1,attorney general,1995.0,,,1.0,,, ,False,False,False,True,True,fixed
,Delaware,de_14,"ann. tit. 10, § 8701",,attorney general,1953.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_14,"ann. tit. 10, § 8701",,attorney general,1935.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_14,"ann. tit. 10, § 8701",,attorney general,1915.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_14,"ann. tit. 10, § 8701",,attorney general,1852.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_15,"ann. tit. 10, § 8701",5 percent,attorney general,1995.0,,,,5 percent,, ,False,False,False,False,False,none
,Delaware,de_15,"ann. tit. 10, § 8701",,attorney general,1953.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_15,"ann. tit. 10, § 8701",,attorney general,1935.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_15,"ann. tit. 10, § 8701",,attorney general,1915.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_15,"ann. tit. 10, § 8701",,attorney general,1852.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_16,"ann. tit. 10, § 8706",costs of services established by rule of superior court,prothonotary; criminal proceedings,1953.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_16,"ann. tit. 10, § 8706",costs of services established by rule of superior court,prothonotary; criminal proceedings,1935.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_16,"ann. tit. 10, § 8706",costs of services established by rule of superior court,prothonotary; criminal proceedings,1915.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_16,"ann. tit. 10, § 8706",costs of services established by rule of superior court,prothonotary; criminal proceedings,1852.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_17,"ann. tit. 10, § 8707",costs of register established by rules of the court of chancery,register in chancery,2001.0,,,,,"""All income and interest earned on all such deposits and investments are
 declared to be public moneys and shall from time to time on order of a Judge
 of such Court be paid in equal shares to the State Treasurer and to the government 
of the County in which such funds are deposited with the Court or Register."" 
and substituting in lieu thereof the following sentence:
""All income and interest earned on all such deposits and investments 
are declared to be public moneys and shall from time to time on order
 of a Judge of such Court be paid to the State Treasurer."".
All the fees, costs, allowances and other perquisites which are taxable 
and paid to the Register in Chancery Office for any official service rendered, shall 
be for the sole use of the State, and when received shall be paid to the State Treasurer.", ,False,False,False,False,False,none
,Delaware,de_17,"ann. tit. 10, § 8707",costs of register established by rules of the court of chancery,register in chancery,1953.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_17,"ann. tit. 10, § 8707",costs of register established by rules of the court of chancery,register in chancery,1935.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_17,"ann. tit. 10, § 8707",costs of register established by rules of the court of chancery,register in chancery,1915.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_17,"ann. tit. 10, § 8707",costs of register established by rules of the court of chancery,register in chancery,1852.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_18,"ann. tit. 10, § 8711",$2.03 - $0 $2.03 per mile,constable,1953.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_18,"ann. tit. 10, § 8711",$2.03 - $0 $2.03 per mile,constable,1935.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_18,"ann. tit. 10, § 8711",$2.03 - $0 $2.03 per mile,constable,1915.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_18,"ann. tit. 10, § 8711",$2.03 - $0 $2.03 per mile,constable,1852.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_19,"ann. tit. 10, § 8712",$1 - $0 $1.00 plus .03 per mile,referees,1953.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_19,"ann. tit. 10, § 8712",$1 - $0 $1.00 plus .03 per mile,referees,1935.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_19,"ann. tit. 10, § 8712",$1 - $0 $1.00 plus .03 per mile,referees,1915.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_19,"ann. tit. 10, § 8712",$1 - $0 $1.00 plus .03 per mile,referees,1852.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_20,"ann. tit. 11, § 1504",25000,criminal penalties (class b felonies),2012.0,,,25000.0,,"(a) Any person convicted of conduct constituting a violation 
of any of the provisions of this chapter shall be guilty of a class
 B felony, and shall be punished by imprisonment and pay a fine
 of not less than $25,000.", ,False,False,False,True,True,fixed
,Delaware,de_20,"ann. tit. 11, § 1504",only incarceration,criminal penalties (class b felonies),1995.0,,,,,"""(c) The Revisors shall gender neutralize or otherwise
 insure that a solely masculine or feminine designation
 never occurs unless it could only apply to one gender.""", ,False,False,False,False,False,none
,Delaware,de_20,"ann. tit. 11, § 1504",only incarceration,criminal penalties (class b felonies),1990.0,,,,,, ,False,False,False,False,False,none
,Delaware,de_20,"ann. tit. 11, § 1504",only incarceration,criminal penalties (class b felonies),1989.0,,,,,(2) For a Class B Felony not less than 2 years up to 20 years to be served at Level V., ,False,False,False,False,False,none
,Delaware,de_21,"ann. tit. 11, § 1505",$0 - $100000 none,civil remedies,2020.0,0.0,100000.0,,,"""(c) The Revisors shall gender neutralize or otherwise 
insure that a solely masculine or feminine designation 
never occurs unless it could only apply to one gender.""", ,False,False,True,False,True,range
,Delaware,de_21,"ann. tit. 11, § 1505",$0 - $100000 none,civil remedies,1995.0,0.0,100000.0,,,, ,False,False,True,False,True,range
,Delaware,de_22,"ann. tit. 11, § 9016",18% of every fine or $10 per offense of conviction,penalty assessment,2022.0,,,,18% of every fine or $10 per offense of conviction,, ,False,False,False,False,False,none
,Delaware,de_22,"ann. tit. 11, § 9016",18% of every fine or $10 per offense of conviction (which is greater),penalty assessment,2015.0,,,,18% of every fine or $10 per offense of conviction (which is greater),, ,False,False,False,False,False,none
,Delaware,de_22,"ann. tit. 11, § 9016",18% of every fine or $10 per offense of conviction (which is greater),penalty assessment,2013.0,,,,18% of every fine or $10 per offense of conviction (which is greater),"In addition to, and at the same time as, any fine is assessed to any
 criminal defendant or any child adjudicated delinquent, there shall 
be levied an additional penalty of 18 percent of every fine, penalty and 
forfeiture imposed and collected by the courts for crimes or offenses as
 defined in Section 233 of this title, or $ 10 per offense of conviction,
 whichever is greater . Where multiple offenses are involved, the penalty
 assessment shall be based upon the total fine for all offenses. 
When a fine, penalty or forfeiture is suspended, in whole or in part, 
the penalty assessment shall not be suspended; provided, however, 
that if the penalty assessment herein imposed remains uncollected
 for a period in excess of 3 years, the courts may expunge the record 
of such assessment.", ,False,False,False,False,False,none
,Delaware,de_22,"ann. tit. 11, § 9016",18% of every fine,penalty assessment,2009.0,,,,18% of every fine,"(a) In addition to, and at the same time as, any fine is 
assessed to any criminal defendant or any child adjudicated delinquent, there shall be levied an additional penalty of 
18 percent of every fine, penalty and forfeiture imposed and 
collected by the courts for crimes or offenses as defined in 
Section 233 of this Title. Where multiple offenses are involved, 
the penalty assessment shall be based upon the total fine for 
all offenses. When a fine, penalty or forfeiture is suspended, 
in whole or in part, the penalty assessment shall not be
 suspended; provided, however, that if the penalty assessment 
herein imposed remains uncollected for a period in excess 
of 3 years, the courts may expunge the record of such assessment.", ,False,False,False,False,False,none
,Delaware,de_22,"ann. tit. 11, § 9016",15% of every fine,penalty assessment,2001.0,,,,15% of every fine,, ,False,False,False,False,False,none
,Delaware,de_22,"ann. tit. 11, § 9016",15% of every fine,penalty assessment,1991.0,,,,15% of every fine,""" Section 2. Amend § 9012, Chapter 90, Title 11, Delaware Code, by 
striking the word ""crimes"" as it appears therein and substituting in lieu
 thereof the words ""crimes or offenses as defined in § 233 of this Title.""", ,False,False,False,False,False,none
,Delaware,de_22,"ann. tit. 11, § 9016",15% of every fine,penalty assessment,1990.0,,,,15% of every fine,"Notwithstanding any other provision of the law to the contrary,
 the General Assembly hereby approves and authorizes an increase
 of 15% in the amount of each fee, cost, fine, assessment, penalty
 or other non-tax revenue which has not been increased since 1985 and which is imposed by any state agency or state court as identified in Appendix I, attached hereto. Appendix I is expressly incorporated herein and made a part of this Act.", ,False,False,False,False,False,none
,Delaware,de_22,"ann. tit. 11, § 9016",15% of every fine,penalty assessment,1989.0,,,,15% of every fine,"""""(a) In addition to, and at the same time as, any fine is assessed 
to any criminal defendant or any child adjudicated delinquent, there 
shall be levied an additional penalty of 15% of every fine, penalty and 
forfeiture imposed and collected by the courts for crimes. Where 
multiple offenses are involved, the penalty assessment shall be 
based upon the total fine for all offenses. When a fine, penalty or 
forfeiture is suspended, in whole or in part, the penalty assessment shall not be suspended.""""", ,False,False,False,False,False,none
,Delaware,de_23,"ann. tit. 21, § 702",$25 - $100 for first offense: between 25 and 50. for each subsequent offense: between 50 and 100.,failure to answer summons; penalty,2020.0,,,,25 - 100 for first offense: between 25 and 50. for each subsequent offense: between 50 and 100.,, ,False,False,False,False,False,none
,Delaware,de_23,"ann. tit. 21, § 702",$25 - $100 for first offense: between 25 and 50. for each subsequent offense: between 50 and 100.,failure to answer summons; penalty,2009.0,,,,25 - 100 for first offense: between 25 and 50. for each subsequent offense: between 50 and 100.,"""(b) The offense set forth in subsection (a) above shall not 
be charged in any case in which a court of competent jurisdiction 
has already issued a capias or bench warrant for the failure to 
answer the original summons, or in any case where the 
defendant’s driver’s license or driving privileges have 
been suspended as a result of failure to pay the summons 
through voluntary assessment pursuant to Section 709(j) of this chapter.""", ,False,False,False,False,False,none
