unnamed:_0,state,statute_id,statute_name,penalty_type,estimated_amount,year,penalty_amt_min,penalty_amt_max,penalty_amt_fixed,penalty_other,notes,unnamed:_12,is_discretionary_text,has_min,has_max,has_fixed,has_numeric_amount,amount_type
Guiselle Delgadillo,South Carolina,sc_1,s.c. code ann. § 56-5-2995,additional assessment on persons convicted of driving under influence of intoxicating liquors or drugs.,$12 additional $12 for second and subsequent offenses,1997,,,12.0,,,,False,False,False,True,True,fixed
Guiselle Delgadillo,South Carolina,sc_1,s.c. code ann. § 56-5-2995,additional assessment on persons convicted of driving under influence of intoxicating liquors or drugs.,$12 additional $12 for second and subsequent offenses,2002,,,12.0,,,,False,False,False,True,True,fixed
Guiselle Delgadillo,South Carolina,sc_2,s.c. code ann. § 14-1-205,restitution charge to victim&#039;s compensation fund.,$0 - $10000,1994,,,,,,,False,False,False,False,False,none
Guiselle Delgadillo,South Carolina,sc_2,s.c. code ann. § 14-1-205,restitution charge to victim&#039;s compensation fund.,$0 - $10000,1997,,,,,,,False,False,False,False,False,none
Guiselle Delgadillo,South Carolina,sc_2,s.c. code ann. § 14-1-205,restitution charge to victim&#039;s compensation fund.,$0 - $10000,2017,,,,,,,False,False,False,False,False,none
Guiselle Delgadillo,South Carolina,sc_3,s.c. code ann. § 14-1-206(a),"additional assessment, general sessions or family court",an amount equal to 107.5 percent of the fine imposed,1994,,,62.0,,,,False,False,False,True,True,fixed
Guiselle Delgadillo,South Carolina,sc_3,s.c. code ann. § 14-1-206(a),"additional assessment, general sessions or family court",an amount equal to 107.5 percent of the fine imposed,1995,,,,,,,False,False,False,False,False,none
Guiselle Delgadillo,South Carolina,sc_3,s.c. code ann. § 14-1-206(a),"additional assessment, general sessions or family court",an amount equal to 107.5 percent of the fine imposed,1996,,,62.0,,,,False,False,False,True,True,fixed
Guiselle Delgadillo,South Carolina,sc_3,s.c. code ann. § 14-1-206(a),"additional assessment, general sessions or family court",an amount equal to 107.5 percent of the fine imposed,1997,,,100.0,,,,False,False,False,True,True,fixed
Guiselle Delgadillo,South Carolina,sc_3,s.c. code ann. § 14-1-206(a),"additional assessment, general sessions or family court",an amount equal to 107.5 percent of the fine imposed,1999,,,,,,,False,False,False,False,False,none
