data_checker,data_collector,state,statute_id,statute_name,year,estimated_amount,penalty_type,penalty_amt_min,penalty_amt_max,penalty_amt_fixed,penalty_other,Notes,is_discretionary_text,has_min,has_max,has_fixed,has_numeric_amount,amount_type
,Guiselle M. Delgadillo,arizona,az_1,ariz. rev. stat. ann. § 13-801(a),1978,$0.00 - $150000.00,fines for felonies,,150000.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_2,ariz. rev. stat. ann. § 13-802(a),1989,$0.00 - $2500.00,fines for misdemeanors - class 1,,2500.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_3,ariz. rev. stat. ann. § 13-802(b),1989,$0.00 - $750.00,fines for misdemeanors - class 2,,750.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_4,ariz. rev. stat. ann. § 13-802(c),1989,$0.00 - $500.00,fines for misdemeanors - class 3,,500.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_5,ariz. rev. stat. ann. § 13-802(d),1989,$0.00 - $300.00,fines for misdemeanors - petty,,300.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_6,ariz. rev. stat. ann. § 13-803(a)(1),1989,$0.00 - $1000000.00,fines against enterprises - felony,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_6,ariz. rev. stat. ann. § 13-803(a)(1),2000,$0.00 - $1000000.00,fines against enterprises - felony,,1000000.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_7,ariz. rev. stat. ann. § 13-803(a)(2),1989,$0.00 - $20000.00,Class 1 misdemeanor – enterprise fines,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_7,ariz. rev. stat. ann. § 13-803(a)(2),2000,$0.00 - $20000.00,Class 1 misdemeanor – enterprise fines,,20000.0,,,,False,False,True,False,True,range
,Guiselle M. Delgadillo,arizona,az_8,ariz. rev. stat. ann. § 13-803(a)(3),1989,$0.00 - $10000.00,Class 2 misdemeanor – enterprise fines,,,,,,False,False,False,False,False,none
,Guiselle M. Delgadillo,arizona,az_8,ariz. rev. stat. ann. § 13-803(a)(3),2000,$0.00 - $10000.00,Class 2 misdemeanor – enterprise fines,,10000.0,,,,False,False,True,False,True,range
