data_checker,data_collector,state,statute_id,                 statute_name,estimated_amount,penalty_type,year,penalty_amt_min,penalty_amt_max,penalty_amt_fixed,penalty_other,notes,is_discretionary_text,has_min,has_max,has_fixed,has_numeric_amount,amount_type
,Abdulsalam Omar Dreza,california,ca_51,cal. pen. code § 153,$0 - $1000,of crimes against public justice - other offenses against public justice,2011,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_52,cal. pen. code § 155,$0 - $1000,of crimes against public justice - other offenses against public justice,1990,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_52,cal. pen. code § 155,$0 - $1000,of crimes against public justice - other offenses against public justice,2009-2010,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_53,cal. pen. code § 158,$0 - $1000,of crimes against public justice - other offenses against public justice,1984,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,1993,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,1996,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,1999,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,2002,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,2008,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,2009,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,2010,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,2011,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,2013,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,2014,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,2015,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,2016,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_54,cal. pen. code § 166(b)(1),"$5,000 ",of crimes against public justice - other offenses against public justice,2021,,5000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,1993,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,1996,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,1999,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2002,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2008,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2009,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2010,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2011,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2013,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2014,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2015,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2016,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_55,cal. pen. code § 166(c)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2021,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_56,cal. pen. code § 171c(a)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2010,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_56,cal. pen. code § 171c(a)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2011,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_56,cal. pen. code § 171c(a)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2013,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_56,cal. pen. code § 171c(a)(1),$0 - $1000,of crimes against public justice - other offenses against public justice,2021,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_57,cal. pen. code § 171c(a)(2),$0 - $1000,of crimes against public justice - other offenses against public justice,2010,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_57,cal. pen. code § 171c(a)(2),$0 - $1000,of crimes against public justice - other offenses against public justice,2011,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_57,cal. pen. code § 171c(a)(2),$0 - $1000,of crimes against public justice - other offenses against public justice,2013,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_57,cal. pen. code § 171c(a)(2),$0 - $1000,of crimes against public justice - other offenses against public justice,2021,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_58,cal. pen. code § 171d,$0 - $1000,of crimes against public justice - other offenses against public justice,2006,,1000.0,,,,False,False,True,False,True,range
,Abdulsalam Omar Dreza,california,ca_58,cal. pen. code § 171d,$0 - $1000,of crimes against public justice - other offenses against public justice,2010,,1000.0,,,,False,False,True,False,True,range
