year,amount_type,count,year_total,pct
1978,range,1,1,100.0
1989,none,8,12,66.7
1989,range,4,12,33.3
1990,fixed,2,12,16.7
1990,none,6,12,50.0
1990,range,4,12,33.3
1991,fixed,1,11,9.1
1991,none,9,11,81.8
1991,range,1,11,9.1
1992,none,10,11,90.9
1992,range,1,11,9.1
1993,fixed,3,61,4.9
1993,none,50,61,82.0
1993,range,8,61,13.1
1994,range,1,1,100.0
1995,fixed,3,39,7.7
1995,none,35,39,89.7
1995,range,1,39,2.6
1996,none,23,27,85.2
1996,range,4,27,14.8
1997,fixed,2,35,5.7
1997,none,22,35,62.9
1997,range,11,35,31.4
1998,fixed,1,29,3.4
1998,none,24,29,82.8
1998,range,4,29,13.8
1999,fixed,5,41,12.2
1999,none,33,41,80.5
1999,range,3,41,7.3
2000,fixed,15,54,27.8
2000,none,28,54,51.9
2000,range,11,54,20.4
2001,fixed,3,23,13.0
2001,none,13,23,56.5
2001,range,7,23,30.4
2002,none,6,12,50.0
2002,range,6,12,50.0
2003,fixed,1,21,4.8
2003,none,17,21,81.0
2003,range,3,21,14.3
2004,fixed,4,19,21.1
2004,none,12,19,63.2
2004,range,3,19,15.8
2005,fixed,11,47,23.4
2005,none,22,47,46.8
2005,range,14,47,29.8
2006,fixed,8,29,27.6
2006,none,15,29,51.7
2006,range,6,29,20.7
2007,fixed,7,24,29.2
2007,none,13,24,54.2
2007,range,4,24,16.7
2008,fixed,19,42,45.2
2008,none,5,42,11.9
2008,range,18,42,42.9
2009,fixed,4,11,36.4
2009,none,1,11,9.1
2009,range,6,11,54.5
2010,none,4,7,57.1
2010,range,3,7,42.9
2011,fixed,15,35,42.9
2011,none,8,35,22.9
2011,range,12,35,34.3
2012,fixed,4,12,33.3
2012,none,3,12,25.0
2012,range,5,12,41.7
2013,none,3,5,60.0
2013,range,2,5,40.0
2014,none,1,4,25.0
2014,range,3,4,75.0
2015,fixed,1,3,33.3
2015,none,2,3,66.7
2016,fixed,9,15,60.0
2016,range,6,15,40.0
2017,none,5,5,100.0
2018,fixed,13,28,46.4
2018,none,5,28,17.9
2018,range,10,28,35.7
2019,fixed,14,25,56.0
2019,none,4,25,16.0
2019,range,7,25,28.0
2020,none,1,1,100.0
2021,fixed,1,10,10.0
2021,none,1,10,10.0
2021,range,8,10,80.0
2022,none,1,5,20.0
2022,range,4,5,80.0
2023,fixed,11,17,64.7
2023,range,6,17,35.3
2024,fixed,4,8,50.0
2024,none,1,8,12.5
2024,range,3,8,37.5
