year,amount_type,count,year_total,pct
1872,none,18,18,100.0
1873,none,4,4,100.0
1874,none,3,3,100.0
1877,none,3,3,100.0
1905,none,5,5,100.0
1909,none,4,5,80.0
1909,range,1,5,20.0
1913,none,1,1,100.0
1917,none,3,3,100.0
1921,none,1,1,100.0
1923,none,1,1,100.0
1927,none,3,4,75.0
1927,range,1,4,25.0
1929,none,5,5,100.0
1931,none,5,5,100.0
1933,none,1,1,100.0
1941,none,3,3,100.0
1945,none,3,4,75.0
1945,range,1,4,25.0
1947,none,3,3,100.0
1949,range,1,1,100.0
1951,none,1,1,100.0
1952,none,1,1,100.0
1957,none,5,5,100.0
1958,range,1,1,100.0
1963,none,3,3,100.0
1965,none,1,7,14.3
1965,range,6,7,85.7
1967,none,7,7,100.0
1968,none,2,2,100.0
1969,none,3,3,100.0
1970,none,9,9,100.0
1971,none,1,2,50.0
1971,range,1,2,50.0
1972,none,2,4,50.0
1972,range,2,4,50.0
1975,none,3,3,100.0
1976,none,12,23,52.2
1976,range,11,23,47.8
1977,none,7,9,77.8
1977,range,2,9,22.2
1978,none,4,4,100.0
1979,none,4,5,80.0
1979,range,1,5,20.0
1980,range,1,1,100.0
1981,fixed,1,5,20.0
1981,none,3,5,60.0
1981,range,1,5,20.0
1982,none,5,5,100.0
1983,none,6,17,35.3
1983,range,11,17,64.7
1984,none,1,30,3.3
1984,range,29,30,96.7
1985,none,3,4,75.0
1985,range,1,4,25.0
1986,none,2,3,66.7
1986,range,1,3,33.3
1987,fixed,2,93,2.2
1987,none,37,93,39.8
1987,range,54,93,58.1
1988,fixed,3,95,3.2
1988,none,43,95,45.3
1988,range,49,95,51.6
1989,fixed,2,79,2.5
1989,none,37,79,46.8
1989,range,40,79,50.6
1990,fixed,1,77,1.3
1990,none,31,77,40.3
1990,range,45,77,58.4
1991,fixed,6,36,16.7
1991,none,19,36,52.8
1991,range,11,36,30.6
1992,fixed,3,59,5.1
1992,none,27,59,45.8
1992,range,29,59,49.2
1993,fixed,9,104,8.7
1993,none,46,104,44.2
1993,range,49,104,47.1
1994,fixed,4,118,3.4
1994,none,46,118,39.0
1994,range,68,118,57.6
1995,fixed,2,40,5.0
1995,none,17,40,42.5
1995,range,21,40,52.5
1996,fixed,1,83,1.2
1996,none,29,83,34.9
1996,range,53,83,63.9
1997,fixed,12,42,28.6
1997,none,13,42,31.0
1997,range,17,42,40.5
1998,fixed,1,84,1.2
1998,none,25,84,29.8
1998,range,58,84,69.0
1999,fixed,5,69,7.2
1999,none,17,69,24.6
1999,range,47,69,68.1
2000,fixed,1,84,1.2
2000,none,34,84,40.5
2000,range,49,84,58.3
2001,fixed,1,35,2.9
2001,none,9,35,25.7
2001,range,25,35,71.4
2002,fixed,8,62,12.9
2002,none,24,62,38.7
2002,range,30,62,48.4
2003,fixed,4,63,6.3
2003,none,30,63,47.6
2003,range,29,63,46.0
2004,none,30,72,41.7
2004,range,42,72,58.3
2005,fixed,3,50,6.0
2005,none,29,50,58.0
2005,range,18,50,36.0
2006,fixed,7,82,8.5
2006,none,14,82,17.1
2006,range,61,82,74.4
2007,fixed,11,57,19.3
2007,none,17,57,29.8
2007,range,29,57,50.9
2008,fixed,13,51,25.5
2008,none,12,51,23.5
2008,range,26,51,51.0
2009,fixed,3,116,2.6
2009,none,23,116,19.8
2009,range,90,116,77.6
2010,fixed,10,113,8.8
2010,none,23,113,20.4
2010,range,80,113,70.8
2011,fixed,11,274,4.0
2011,none,25,274,9.1
2011,range,238,274,86.9
2012,fixed,5,45,11.1
2012,none,10,45,22.2
2012,range,30,45,66.7
2013,fixed,2,26,7.7
2013,none,3,26,11.5
2013,range,21,26,80.8
2014,none,8,75,10.7
2014,range,67,75,89.3
2015,fixed,1,47,2.1
2015,none,3,47,6.4
2015,range,43,47,91.5
2016,fixed,7,80,8.8
2016,none,12,80,15.0
2016,range,61,80,76.2
2017,fixed,4,28,14.3
2017,none,7,28,25.0
2017,range,17,28,60.7
2018,fixed,5,35,14.3
2018,none,5,35,14.3
2018,range,25,35,71.4
2019,fixed,3,36,8.3
2019,none,6,36,16.7
2019,range,27,36,75.0
2020,fixed,9,29,31.0
2020,none,16,29,55.2
2020,range,4,29,13.8
2021,fixed,9,50,18.0
2021,none,10,50,20.0
2021,range,31,50,62.0
2022,fixed,1,77,1.3
2022,none,10,77,13.0
2022,range,66,77,85.7
2023,none,2,20,10.0
2023,range,18,20,90.0
2024,fixed,1,66,1.5
2024,none,8,66,12.1
2024,range,57,66,86.4
