year,amount_type,count,year_total,pct
1852,none,10,10,100.0
1915,none,11,11,100.0
1935,none,13,13,100.0
1953,none,15,15,100.0
1955,none,1,1,100.0
1961,none,1,1,100.0
1989,none,13,18,72.2
1989,range,5,18,27.8
1990,none,11,11,100.0
1991,none,1,2,50.0
1991,range,1,2,50.0
1995,fixed,6,20,30.0
1995,none,12,20,60.0
1995,range,2,20,10.0
1997,none,12,12,100.0
1999,none,1,1,100.0
2001,none,16,16,100.0
2003,none,28,31,90.3
2003,range,3,31,9.7
2005,none,7,7,100.0
2007,discretionary_text,1,22,4.5
2007,fixed,10,22,45.5
2007,none,9,22,40.9
2007,range,2,22,9.1
2009,none,3,3,100.0
2011,fixed,1,22,4.5
2011,none,21,22,95.5
2012,fixed,1,1,100.0
2013,none,11,11,100.0
2014,none,2,2,100.0
2015,fixed,2,7,28.6
2015,none,5,7,71.4
2017,fixed,1,2,50.0
2017,none,1,2,50.0
2020,none,3,4,75.0
2020,range,1,4,25.0
2021,none,47,47,100.0
2022,none,1,1,100.0
2023,none,7,7,100.0
