year,amount_type,count,year_total,pct
1848,fixed,2,9,22.2
1848,none,6,9,66.7
1848,range,1,9,11.1
1857,fixed,1,7,14.3
1857,none,6,7,85.7
1871,fixed,1,4,25.0
1871,none,2,4,50.0
1871,range,1,4,25.0
1880,none,4,8,50.0
1880,range,4,8,50.0
1892,none,8,11,72.7
1892,range,3,11,27.3
1906,none,5,7,71.4
1906,range,2,7,28.6
1916,none,1,1,100.0
1917,none,7,14,50.0
1917,range,7,14,50.0
1921,range,2,2,100.0
1924,range,2,2,100.0
1928,range,1,1,100.0
1930,fixed,5,19,26.3
1930,none,6,19,31.6
1930,range,8,19,42.1
1932,none,3,3,100.0
1934,none,1,1,100.0
1935,range,1,1,100.0
1942,fixed,9,143,6.3
1942,none,76,143,53.1
1942,range,58,143,40.6
1944,none,1,1,100.0
1946,range,2,2,100.0
1948,none,3,4,75.0
1948,range,1,4,25.0
1952,range,5,5,100.0
1954,none,2,3,66.7
1954,range,1,3,33.3
1956,none,5,6,83.3
1956,range,1,6,16.7
1958,none,1,1,100.0
1960,none,7,10,70.0
1960,range,3,10,30.0
1962,none,7,11,63.6
1962,range,4,11,36.4
1964,fixed,1,7,14.3
1964,none,6,7,85.7
1965,none,1,1,100.0
1966,none,2,5,40.0
1966,range,3,5,60.0
1968,none,11,14,78.6
1968,range,3,14,21.4
1970,range,1,1,100.0
1971,none,3,3,100.0
1972,none,4,6,66.7
1972,range,2,6,33.3
1973,range,2,2,100.0
1974,none,1,2,50.0
1974,range,1,2,50.0
1975,none,1,2,50.0
1975,range,1,2,50.0
1977,fixed,1,6,16.7
1977,none,5,6,83.3
1978,none,4,8,50.0
1978,range,4,8,50.0
1979,none,4,4,100.0
1980,none,7,8,87.5
1980,range,1,8,12.5
1981,fixed,1,18,5.6
1981,none,6,18,33.3
1981,range,11,18,61.1
1982,range,4,4,100.0
1983,discretionary_text,1,9,11.1
1983,none,3,9,33.3
1983,range,5,9,55.6
1984,none,1,1,100.0
1985,none,2,3,66.7
1985,range,1,3,33.3
1986,none,5,9,55.6
1986,range,4,9,44.4
1987,none,2,2,100.0
1988,none,4,4,100.0
1989,none,9,9,100.0
1990,fixed,12,75,16.0
1990,none,50,75,66.7
1990,range,13,75,17.3
1991,fixed,11,66,16.7
1991,none,34,66,51.5
1991,range,21,66,31.8
1992,fixed,3,80,3.8
1992,none,65,80,81.2
1992,range,12,80,15.0
1993,discretionary_text,1,95,1.1
1993,fixed,2,95,2.1
1993,none,68,95,71.6
1993,range,24,95,25.3
1994,fixed,6,78,7.7
1994,none,58,78,74.4
1994,range,14,78,17.9
1995,discretionary_text,1,67,1.5
1995,fixed,11,67,16.4
1995,none,44,67,65.7
1995,range,11,67,16.4
1996,fixed,16,57,28.1
1996,none,37,57,64.9
1996,range,4,57,7.0
1997,fixed,17,84,20.2
1997,none,62,84,73.8
1997,range,5,84,6.0
1998,discretionary_text,1,69,1.4
1998,fixed,8,69,11.6
1998,none,59,69,85.5
1998,range,1,69,1.4
1999,discretionary_text,1,53,1.9
1999,fixed,8,53,15.1
1999,none,32,53,60.4
1999,range,12,53,22.6
2000,fixed,2,72,2.8
2000,none,59,72,81.9
2000,range,11,72,15.3
2001,fixed,7,63,11.1
2001,none,49,63,77.8
2001,range,7,63,11.1
2002,fixed,9,55,16.4
2002,none,39,55,70.9
2002,range,7,55,12.7
2003,fixed,8,83,9.6
2003,none,70,83,84.3
2003,range,5,83,6.0
2004,fixed,15,96,15.6
2004,none,71,96,74.0
2004,range,10,96,10.4
2005,fixed,24,103,23.3
2005,none,58,103,56.3
2005,range,21,103,20.4
2006,fixed,9,72,12.5
2006,none,59,72,81.9
2006,range,4,72,5.6
2007,fixed,18,92,19.6
2007,none,63,92,68.5
2007,range,11,92,12.0
2008,fixed,8,67,11.9
2008,none,40,67,59.7
2008,range,19,67,28.4
2009,fixed,23,80,28.8
2009,none,46,80,57.5
2009,range,11,80,13.8
2010,fixed,13,55,23.6
2010,none,26,55,47.3
2010,range,16,55,29.1
2011,fixed,17,87,19.5
2011,none,50,87,57.5
2011,range,20,87,23.0
2012,fixed,18,86,20.9
2012,none,47,86,54.7
2012,range,21,86,24.4
2013,fixed,1,96,1.0
2013,none,65,96,67.7
2013,range,30,96,31.2
2014,fixed,11,129,8.5
2014,none,103,129,79.8
2014,range,15,129,11.6
2015,fixed,10,57,17.5
2015,none,30,57,52.6
2015,range,17,57,29.8
2016,fixed,15,111,13.5
2016,none,73,111,65.8
2016,range,23,111,20.7
2017,discretionary_text,1,39,2.6
2017,fixed,3,39,7.7
2017,none,21,39,53.8
2017,range,14,39,35.9
2018,fixed,15,54,27.8
2018,none,19,54,35.2
2018,range,20,54,37.0
2019,fixed,22,66,33.3
2019,none,29,66,43.9
2019,range,15,66,22.7
2020,fixed,5,62,8.1
2020,none,32,62,51.6
2020,range,25,62,40.3
2021,fixed,2,41,4.9
2021,none,22,41,53.7
2021,range,17,41,41.5
2022,fixed,3,37,8.1
2022,none,21,37,56.8
2022,range,13,37,35.1
2023,fixed,1,36,2.8
2023,none,22,36,61.1
2023,range,13,36,36.1
2024,fixed,1,29,3.4
2024,none,20,29,69.0
2024,range,8,29,27.6
2025,none,1,1,100.0
