year,amount_type,count,year_total,pct
1957,range,1,1,100.0
1962,fixed,5,61,8.2
1962,none,3,61,4.9
1962,range,53,61,86.9
1964,range,1,1,100.0
1967,range,1,1,100.0
1971,range,1,1,100.0
1974,range,1,1,100.0
1976,range,1,1,100.0
1977,range,1,1,100.0
1979,none,1,2,50.0
1979,range,1,2,50.0
1980,none,1,8,12.5
1980,range,7,8,87.5
1983,range,1,1,100.0
1984,none,1,3,33.3
1984,range,2,3,66.7
1985,range,1,1,100.0
1986,fixed,2,8,25.0
1986,none,3,8,37.5
1986,range,3,8,37.5
1987,none,1,4,25.0
1987,range,3,4,75.0
1988,range,1,1,100.0
1989,range,1,1,100.0
1990,none,5,8,62.5
1990,range,3,8,37.5
1991,none,3,4,75.0
1991,range,1,4,25.0
1992,fixed,3,4,75.0
1992,none,1,4,25.0
1993,fixed,4,113,3.5
1993,none,50,113,44.2
1993,range,59,113,52.2
1994,fixed,4,20,20.0
1994,none,10,20,50.0
1994,range,6,20,30.0
1995,fixed,2,28,7.1
1995,none,9,28,32.1
1995,range,17,28,60.7
1996,fixed,3,44,6.8
1996,none,9,44,20.5
1996,range,32,44,72.7
1997,fixed,6,10,60.0
1997,none,3,10,30.0
1997,range,1,10,10.0
1998,fixed,2,16,12.5
1998,none,7,16,43.8
1998,range,7,16,43.8
1999,fixed,2,16,12.5
1999,none,6,16,37.5
1999,range,8,16,50.0
2000,fixed,5,18,27.8
2000,none,8,18,44.4
2000,range,5,18,27.8
2001,fixed,1,25,4.0
2001,none,15,25,60.0
2001,range,9,25,36.0
2002,fixed,1,10,10.0
2002,none,8,10,80.0
2002,range,1,10,10.0
2003,fixed,1,9,11.1
2003,none,5,9,55.6
2003,range,3,9,33.3
2004,fixed,1,14,7.1
2004,none,4,14,28.6
2004,range,9,14,64.3
2005,fixed,3,26,11.5
2005,none,10,26,38.5
2005,range,13,26,50.0
2006,fixed,1,14,7.1
2006,none,4,14,28.6
2006,range,9,14,64.3
2007,fixed,2,15,13.3
2007,none,2,15,13.3
2007,range,11,15,73.3
2008,discretionary_text,1,50,2.0
2008,fixed,10,50,20.0
2008,none,22,50,44.0
2008,range,17,50,34.0
2009,none,6,8,75.0
2009,range,2,8,25.0
2010,fixed,3,56,5.4
2010,none,24,56,42.9
2010,range,29,56,51.8
2011,fixed,1,9,11.1
2011,none,4,9,44.4
2011,range,4,9,44.4
2012,none,5,9,55.6
2012,range,4,9,44.4
2013,fixed,5,19,26.3
2013,none,3,19,15.8
2013,range,11,19,57.9
2014,fixed,1,5,20.0
2014,none,1,5,20.0
2014,range,3,5,60.0
2015,discretionary_text,1,15,6.7
2015,none,7,15,46.7
2015,range,7,15,46.7
2016,none,2,7,28.6
2016,range,5,7,71.4
2017,fixed,1,6,16.7
2017,none,4,6,66.7
2017,range,1,6,16.7
2018,none,2,3,66.7
2018,range,1,3,33.3
2019,none,2,3,66.7
2019,range,1,3,33.3
2021,none,1,1,100.0
2022,none,3,4,75.0
2022,range,1,4,25.0
2023,fixed,1,4,25.0
2023,none,2,4,50.0
2023,range,1,4,25.0
2024,fixed,1,9,11.1
2024,none,3,9,33.3
2024,range,5,9,55.6
2025,range,1,1,100.0
