year,amount_type,count,year_total,pct
1985,fixed,1,1,100.0
1987,range,2,2,100.0
1989,fixed,1,4,25.0
1989,none,2,4,50.0
1989,range,1,4,25.0
1991,fixed,1,6,16.7
1991,range,5,6,83.3
1993,fixed,2,11,18.2
1993,none,3,11,27.3
1993,range,6,11,54.5
1995,fixed,2,9,22.2
1995,none,1,9,11.1
1995,range,6,9,66.7
1997,fixed,2,3,66.7
1997,range,1,3,33.3
1999,fixed,1,3,33.3
1999,range,2,3,66.7
2001,fixed,3,3,100.0
2003,fixed,3,3,100.0
2004,fixed,3,3,100.0
2005,fixed,2,3,66.7
2005,range,1,3,33.3
2007,fixed,4,5,80.0
2007,range,1,5,20.0
2009,fixed,5,5,100.0
2011,none,5,5,100.0
2013,fixed,2,2,100.0
2015,fixed,9,20,45.0
2015,none,8,20,40.0
2015,range,3,20,15.0
2017,none,1,4,25.0
2017,range,3,4,75.0
2019,fixed,6,10,60.0
2019,none,2,10,20.0
2019,range,2,10,20.0
2021,none,1,4,25.0
2021,range,3,4,75.0
2023,range,2,2,100.0
