year,avg_min,avg_max,avg_fixed,n_statutes
1848,100.0,100.0,325.0,9
1857,,,500.0,7
1871,100.0,100.0,100.0,4
1880,21.25,21.25,,8
1892,50.0,50.0,,11
1906,62.5,62.5,,7
1916,,,,1
1917,38.57142857142857,38.57142857142857,,14
1921,62.5,62.5,,2
1924,30.0,30.0,,2
1928,25.0,25.0,,1
1930,53.125,53.125,308.0,19
1932,,,,3
1934,,,,1
1935,500.0,500.0,,1
1942,126.91379310344827,126.91379310344827,293.9166666666667,142
1944,,,,1
1946,25.0,25.0,,2
1948,1000.0,1000.0,,4
1952,36.0,36.0,,5
1954,1000.0,1000.0,,3
1956,100.0,100.0,,6
1958,,,,1
1960,100.0,100.0,,10
1962,62.5,62.5,,11
1964,,,500.0,7
1965,,,,1
1966,45.0,45.0,,5
1968,400.0,400.0,,14
1970,25.0,25.0,,1
1971,,,,3
1972,15.0,15.0,,6
1973,550.0,550.0,,2
1974,25.0,25.0,,2
1975,500.0,500.0,,2
1977,,,10.0,6
1978,350.0,350.0,,8
1979,,,,4
1980,25.0,25.0,,8
1981,300.0,300.0,10.0,18
1982,356.25,356.25,,4
1983,1740.0,1740.0,,9
1984,,,,1
1985,5.0,5.0,,3
1986,65.0,65.0,,9
1987,,,,2
1988,,,,4
1989,,,,9
1990,230.76923076923077,230.76923076923077,38.166666666666664,66
1991,496.9047619047619,496.9047619047619,180.45454545454547,59
1992,308.75,308.75,1351.6666666666667,76
1993,257.0833333333333,257.0833333333333,510.0,89
1994,262.5,262.5,184.16666666666666,77
1995,10177.272727272728,10177.272727272728,42.27272727272727,64
1996,387.5,387.5,305.625,46
1997,340.0,340.0,157.2941176470588,74
1998,1000.0,1000.0,62.5,58
1999,1009.1666666666666,1009.1666666666666,26.25,47
2000,186.36363636363637,186.36363636363637,2500.0,71
2001,251.42857142857142,251.42857142857142,69.0,63
2002,300.0,300.0,58.888888888888886,52
2003,31004.0,31004.0,65.75,76
2004,3270.0,3270.0,77.86666666666666,81
2005,14757.619047619048,14757.619047619048,266.0,76
2006,1502.5,1502.5,524.3888888888889,63
2007,125.0,125.0,112.58333333333333,74
2008,1591.3157894736842,1591.3157894736842,150.9375,59
2009,657.2727272727273,657.2727272727273,335.7434782608696,70
2010,495.3125,495.3125,623.5769230769231,54
2011,293.5,293.5,97.8529411764706,73
2012,1310.952380952381,1310.952380952381,679.5694444444445,72
2013,7056.166666666667,7056.166666666667,500.0,92
2014,1770.0,1770.0,196.10181818181817,123
2015,1707.3529411764705,1707.3529411764705,152.817,49
2016,4786.304347826087,4786.304347826087,133.228,82
2017,2296.4285714285716,2296.4285714285716,1841.6666666666667,38
2018,243.57142857142858,243.57142857142858,104.01666666666667,53
2019,16126.666666666666,16126.666666666666,121.85227272727273,37
2020,763.0,763.0,570.0,37
2021,511.7647058823529,511.7647058823529,525.0,38
2022,9161.42857142857,9161.42857142857,53.333333333333336,35
2023,246.15384615384616,246.15384615384616,25.0,33
2024,3481.25,3481.25,25.0,28
2025,,,,1
