year,avg_min,avg_max,avg_fixed,n_statutes
1957,,5000.0,,1
1962,190.55555555555554,2105.52,57.0,61
1964,,1000.0,,1
1967,,5000.0,,1
1971,,100.0,,1
1974,25.0,200.0,,1
1976,,100.0,,1
1977,,100.0,,1
1979,,200.0,,2
1980,100.0,400.0,,6
1983,,200.0,,1
1984,500.0,10000.0,,3
1985,,100.0,,1
1986,500.0,1866.6666666666667,2750.0,8
1987,,400.0,,4
1988,,1000.0,,1
1989,,10000.0,,1
1990,750.0,7000.0,,8
1991,200.0,5000.0,,4
1992,,325.0,34.333333333333336,3
1993,1348.1818181818182,15142.758620689656,385.25,103
1994,,1667.5,51.25,19
1995,1538.3333333333333,3355.0,62.5,28
1996,68.07692307692308,1629.032258064516,360.6666666666667,44
1997,,5175.0,79.33333333333333,10
1998,,4642.857142857143,87.0,16
1999,200.0,5462.5,62.5,16
2000,500.0,3220.0,180.0,15
2001,,13255.555555555555,100.0,22
2002,,5000.0,12.0,10
2003,25.0,1733.3333333333333,100.0,9
2004,25.0,3400.0,100.0,14
2005,2000.0,65108.333333333336,733.3333333333334,26
2006,,3188.8888888888887,25.0,11
2007,150.0,3436.3636363636365,145.0,15
2008,285.0,2682.777777777778,92.75,45
2009,,1000.0,,7
2010,735.0,2378.1481481481483,223.33333333333334,53
2011,,1900.25,25000.0,9
2012,,3875.0,,9
2013,,4245.454545454545,660.0,19
2014,,2400.0,5.0,5
2015,1750.0,1857.142857142857,,15
2016,,840.0,,7
2017,,500.0,107.5,6
2018,,2000.0,,3
2019,,150.0,,2
2021,,,,1
2022,,100.0,,4
2023,,3000.0,200.0,4
2024,,2200.0,350.0,9
2025,,10000.0,,1
