year,avg_min,avg_max,avg_fixed,n_statutes
1985,,,5.0,1
1987,3.0,16.0,,2
1989,0.0,10000.0,20.0,4
1991,0.8,1002.0,20.0,6
1993,0.5,6000.833333333333,15.0,10
1995,0.5,1509.1666666666667,16.5,8
1997,3.0,5.0,12.5,3
1999,2.5,1017.5,25.0,3
2001,,,108.33333333333333,3
2003,,,126.66666666666667,3
2004,,,85.33333333333333,3
2005,3.0,4.0,52.0,3
2007,0.0,50.0,27.0,5
2009,,,79.6,5
2011,,,,5
2013,,,31.0,2
2015,8.333333333333334,70.0,97.11111111111111,19
2017,0.0,66.66666666666667,,4
2019,0.0,75.0,94.83333333333333,10
2021,0.0,383.3333333333333,,4
2023,2.5,275.0,,2
