year,avg_min,avg_max,avg_fixed,n_statutes
1950,,,,3
1960,,,,1
1970,,,,1
1974,,,,1
1975,,5500.0,,3
1977,,,,4
1978,,,,4
1979,,,,1
1981,,,,5
1982,,,,1
1983,,20000.0,,3
1984,,,,6
1985,,,,1
1989,225.0,53550.0,,15
1990,250.0,60560.0,30.0,17
1991,225.0,21120.0,,18
1992,225.0,88000.0,30.0,26
1993,233.33333333333334,43442.857142857145,30.0,14
1994,250.0,414.2857142857143,30.0,16
1995,,67166.66666666667,,28
1996,375.0,460.0,20.0,16
1997,233.33333333333334,716.6666666666666,20.0,20
1998,250.0,300.0,20.0,16
1999,250.0,7583.333333333333,20.0,27
2000,250.0,86461.01694915254,63.333333333333336,39
2001,250.0,300.0,150.0,6
2002,416.6666666666667,650.0,185.5,27
2003,527.7777777777778,60415.05,130.20454545454547,37
2004,559.5238095238095,127127.77777777778,109.0952380952381,28
2005,500.0,566780.5555555555,125.1,23
2006,571.4285714285714,153666.66666666666,103.22222222222223,24
2007,333.3333333333333,245.0,117.5,12
2008,,346392.53846153844,260.0,13
2009,500.0,143328.57142857142,77.0,25
2010,250.0,201.0,72.0,12
2011,250.0,50065.625,165.42,29
2012,500.0,444733.55555555556,98.0,14
2013,583.3333333333334,334000.0,150.0,14
2014,500.0,107946.92307692308,66.125,25
2015,250.0,1772.5,76.0,13
2017,250.0,62912.5,73.42857142857143,24
2018,,,53.0,7
2019,,,67.36363636363636,12
2020,416.6666666666667,66265.25,106.22727272727273,30
2021,250.0,62912.5,76.18181818181819,24
2022,,500.0,101.5,9
2023,250.0,300.0,,1
2024,,,,2
