year,avg_min,avg_max,avg_fixed,n_statutes
1872,,,,18
1873,,,,4
1874,,,,3
1877,,,,3
1905,,,,5
1909,,500.0,,5
1913,,,,1
1917,,,,3
1921,,,,1
1923,,,,1
1927,,1000.0,,4
1929,,,,5
1931,,,,5
1933,,,,1
1941,,,,3
1945,,500.0,,4
1947,,,,3
1949,,50.0,,1
1951,,,,1
1952,,,,1
1957,,,,5
1958,,1000.0,,1
1963,,,,3
1965,75.0,1000.0,,7
1967,,,,7
1968,,,,2
1969,,,,3
1970,,,,9
1971,1000.0,5000.0,,2
1972,100.0,1000.0,,4
1975,,,,3
1976,50.0,1545.4545454545455,,23
1977,,25500.0,,9
1978,,,,4
1979,,50000.0,,5
1980,1000.0,2500.0,,1
1981,,70.0,50.0,5
1982,,,,5
1983,,7218.181818181818,,16
1984,258.3333333333333,5524.137931034483,,30
1985,,50000.0,,4
1986,,500.0,,3
1987,1940.625,7712.962962962963,1502.5,85
1988,2525.0,31684.48979591837,102.33333333333333,93
1989,3293.75,6108.75,130.0,70
1990,762.5,11928.888888888889,8.0,69
1991,112.5,26710.909090909092,71.5,32
1992,1000.0,13916.666666666666,103.33333333333333,56
1993,775.0,11227.959183673469,7000.0,98
1994,1312.5,24101.764705882353,325.0,113
1995,,14740.47619047619,250.0,39
1996,280.0,22686.764705882353,10.0,77
1997,,60764.705882352944,13671.208333333334,42
1998,2325.0,15158.793103448275,500.0,84
1999,4333.333333333333,18205.106382978724,92.0,69
2000,3406.25,11362.448979591836,10.0,82
2001,1290.0,14562.0,2000.0,35
2002,1366.6666666666667,3943.0,439.9375,61
2003,500.0,3911.1111111111113,83.625,63
2004,1533.3333333333333,17567.85714285714,,72
2005,1000.0,6408.333333333333,116.66666666666667,50
2006,1153.3333333333333,13569.672131147541,310.0,82
2007,700.0,11682.758620689656,133.55,57
2008,400.0,18542.30769230769,107.20833333333333,51
2009,3533.3333333333335,12926.388888888889,169.83333333333334,95
2010,3363.6363636363635,53225.75,253.5,113
2011,2300.0,26042.63829787234,12223.722222222223,268
2012,250.0,160985.0,501.75,45
2013,100.0,3357.0,6.0,26
2014,4833.333333333333,15618.58208955224,,68
2015,4333.333333333333,3734.8837209302324,4.0,47
2016,5000.0,155046.66666666666,21486.0,70
2017,2712.5,55913.0,203.5,25
2018,5125.0,8136.521739130435,800.8,35
2019,3750.0,6777.777777777777,668.0,33
2020,,5031.25,50.166666666666664,29
2021,183.33333333333334,262196.77419354836,11123.722222222223,50
2022,1916.6666666666667,124868.18181818182,4.0,68
2023,,4076.1111111111113,,20
2024,225.0,107017.85714285714,,52
