year,unique_statutes_changed
1872.0,18
1873.0,4
1874.0,3
1877.0,3
1905.0,5
1909.0,5
1913.0,1
1917.0,3
1921.0,1
1923.0,1
1927.0,4
1929.0,5
1931.0,5
1933.0,1
1941.0,3
1945.0,4
1947.0,3
1949.0,1
1951.0,1
1952.0,1
1957.0,5
1958.0,1
1963.0,3
1965.0,7
1967.0,7
1968.0,2
1969.0,3
1970.0,9
1971.0,2
1972.0,4
1975.0,3
1976.0,23
1977.0,9
1978.0,4
1979.0,5
1980.0,1
1981.0,5
1982.0,5
1983.0,16
1984.0,30
1985.0,4
1986.0,3
1987.0,85
1988.0,93
1989.0,70
1990.0,69
1991.0,32
1992.0,56
1993.0,98
1994.0,113
1995.0,39
1996.0,77
1997.0,42
1998.0,84
1999.0,69
2000.0,82
2001.0,35
2002.0,61
2003.0,63
2004.0,72
2005.0,50
2006.0,82
2007.0,57
2008.0,51
2009.0,95
2010.0,113
2011.0,268
2012.0,45
2013.0,26
2014.0,68
2015.0,47
2016.0,70
2017.0,25
2018.0,35
2019.0,33
2020.0,29
2021.0,50
2022.0,68
2023.0,20
2024.0,52
