year,unique_statutes_changed
1957.0,1
1961.0,1
1963.0,33
1967.0,1
1971.0,11
1973.0,1
1974.0,1
1976.0,7
1977.0,12
1979.0,17
1981.0,7
1982.0,8
1983.0,36
1984.0,82
1985.0,22
1986.0,39
1987.0,19
1988.0,15
1989.0,78
1990.0,42
1991.0,15
1992.0,27
1993.0,46
1994.0,35
1995.0,38
1996.0,24
1997.0,25
1998.0,27
1999.0,37
2000.0,31
2001.0,27
2002.0,23
2003.0,25
2004.0,46
2005.0,47
2006.0,32
2007.0,21
2008.0,9
2009.0,9
2010.0,8
2011.0,27
2012.0,2
2013.0,15
2014.0,23
2015.0,18
2016.0,18
2017.0,7
2018.0,13
2019.0,5
2020.0,9
2021.0,11
2022.0,3
2023.0,95
2024.0,10
2025.0,18
