year,unique_statutes_changed
1848.0,9
1857.0,7
1871.0,4
1880.0,8
1892.0,11
1906.0,7
1916.0,1
1917.0,14
1921.0,2
1924.0,2
1928.0,1
1930.0,19
1932.0,3
1934.0,1
1935.0,1
1942.0,142
1944.0,1
1946.0,2
1948.0,4
1952.0,5
1954.0,3
1956.0,6
1958.0,1
1960.0,10
1962.0,11
1964.0,7
1965.0,1
1966.0,5
1968.0,14
1970.0,1
1971.0,3
1972.0,6
1973.0,2
1974.0,2
1975.0,2
1977.0,6
1978.0,8
1979.0,4
1980.0,8
1981.0,18
1982.0,4
1983.0,9
1984.0,1
1985.0,3
1986.0,9
1987.0,2
1988.0,4
1989.0,9
1990.0,66
1991.0,59
1992.0,76
1993.0,89
1994.0,77
1995.0,64
1996.0,46
1997.0,75
1998.0,58
1999.0,47
2000.0,71
2001.0,63
2002.0,52
2003.0,76
2004.0,81
2005.0,76
2006.0,63
2007.0,74
2008.0,59
2009.0,70
2010.0,54
2011.0,73
2012.0,72
2013.0,92
2014.0,123
2015.0,49
2016.0,82
2017.0,38
2018.0,53
2019.0,37
2020.0,37
2021.0,38
2022.0,35
2023.0,33
2024.0,28
2025.0,1
